rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
39,0.866020828573042,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_B | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_C | x_R06_EXIT_C | x_R07_EXIT_A | x_R08_EXIT_A | x_R09_EXIT_C | x_R10_EXIT_B | x_R11_EXIT_D | x_R12_EXIT_B
40,0.8678246056307017,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_E | x_R06_EXIT_A | x_R07_EXIT_E | x_R08_EXIT_C | x_R09_EXIT_C | x_R10_EXIT_A | x_R11_EXIT_A | x_R12_EXIT_D
41,0.8695730914269717,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_B | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_D | x_R06_EXIT_C | x_R07_EXIT_A | x_R08_EXIT_D | x_R09_EXIT_A | x_R10_EXIT_E | x_R11_EXIT_B | x_R12_EXIT_B
42,0.8696514265740944,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_E | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_B | x_R06_EXIT_E | x_R07_EXIT_D | x_R08_EXIT_A | x_R09_EXIT_B | x_R10_EXIT_B | x_R11_EXIT_A | x_R12_EXIT_B
43,0.876819598550739,1,True,0,12,x_R01_EXIT_E | x_R02_EXIT_B | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_B | x_R06_EXIT_D | x_R07_EXIT_D | x_R08_EXIT_A | x_R09_EXIT_A | x_R10_EXIT_B | x_R11_EXIT_D | x_R12_EXIT_B
44,0.8774810404883482,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_D | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_D | x_R06_EXIT_A | x_R07_EXIT_C | x_R08_EXIT_C | x_R09_EXIT_B | x_R10_EXIT_E | x_R11_EXIT_C | x_R12_EXIT_B
45,0.8811084362003072,1,True,0,12,x_R01_EXIT_E | x_R02_EXIT_C | x_R03_EXIT_D | x_R04_EXIT_D | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_B | x_R08_EXIT_A | x_R09_EXIT_D | x_R10_EXIT_A | x_R11_EXIT_D | x_R12_EXIT_B
46,0.8821437310975426,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_E | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_A | x_R06_EXIT_C | x_R07_EXIT_E | x_R08_EXIT_A | x_R09_EXIT_C | x_R10_EXIT_E | x_R11_EXIT_B | x_R12_EXIT_B
47,0.8838952955417909,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_D | x_R03_EXIT_C | x_R04_EXIT_D | x_R05_EXIT_C | x_R06_EXIT_D | x_R07_EXIT_A | x_R08_EXIT_A | x_R09_EXIT_B | x_R10_EXIT_A | x_R11_EXIT_E | x_R12_EXIT_E
48,0.8851441145032339,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_E | x_R03_EXIT_D | x_R04_EXIT_B | x_R05_EXIT_C | x_R06_EXIT_A | x_R07_EXIT_A | x_R08_EXIT_A | x_R09_EXIT_D | x_R10_EXIT_A | x_R11_EXIT_D | x_R12_EXIT_B
