variable,x_R01_EXIT_A,x_R01_EXIT_B,x_R01_EXIT_C,x_R01_EXIT_D,x_R01_EXIT_E,x_R02_EXIT_A,x_R02_EXIT_B,x_R02_EXIT_C,x_R02_EXIT_D,x_R02_EXIT_E,x_R03_EXIT_A,x_R03_EXIT_B,x_R03_EXIT_C,x_R03_EXIT_D,x_R03_EXIT_E,x_R04_EXIT_A,x_R04_EXIT_B,x_R04_EXIT_C,x_R04_EXIT_D,x_R04_EXIT_E,x_R05_EXIT_A,x_R05_EXIT_B,x_R05_EXIT_C,x_R05_EXIT_D,x_R05_EXIT_E,x_R06_EXIT_A,x_R06_EXIT_B,x_R06_EXIT_C,x_R06_EXIT_D,x_R06_EXIT_E,x_R07_EXIT_A,x_R07_EXIT_B,x_R07_EXIT_C,x_R07_EXIT_D,x_R07_EXIT_E,x_R08_EXIT_A,x_R08_EXIT_B,x_R08_EXIT_C,x_R08_EXIT_D,x_R08_EXIT_E,x_R09_EXIT_A,x_R09_EXIT_B,x_R09_EXIT_C,x_R09_EXIT_D,x_R09_EXIT_E,x_R10_EXIT_A,x_R10_EXIT_B,x_R10_EXIT_C,x_R10_EXIT_D,x_R10_EXIT_E,x_R11_EXIT_A,x_R11_EXIT_B,x_R11_EXIT_C,x_R11_EXIT_D,x_R11_EXIT_E,x_R12_EXIT_A,x_R12_EXIT_B,x_R12_EXIT_C,x_R12_EXIT_D,x_R12_EXIT_E
x_R03_EXIT_A,0.008911018606005731,0.00200497918635129,0.018713139072612038,0.018713139072612038,0.018713139072612038,0.0029703395353352442,0.0006683263954504299,0.006237713024204013,0.006237713024204013,0.006237713024204013,-1.7276763075153505,1.889696370812621,1.8952657574413747,1.889696370812621,1.889696370812621,0.036832210238157026,0.0,0.0,0.0,0.0,0.001151006569942407,0.0,0.0,0.0,0.0,0.017822037212011463,0.00400995837270258,0.037426278145224076,0.037426278145224076,0.037426278145224076,0.01266107226936648,0.0,0.0,0.0,0.0,0.01143580721104069,0.0,0.053020560705734104,0.053020560705734104,0.053020560705734104,0.00408421686108596,0.0,0.01893591453776218,0.01893591453776218,0.0,0.003267373488868769,0.0,0.015148731630209744,0.0,0.0,0.00408421686108596,0.0,0.0,0.0,0.0,0.006534746977737538,0.0,0.0,0.0,0.0
x_R03_EXIT_B,0.0,0.020829505991538398,0.0,0.0,0.017822037212011466,0.0,0.006943168663846133,0.0,0.0,0.0059406790706704885,1.889696370812621,-1.5793394923539403,1.889696370812621,1.9023945723261793,1.9736827211742252,0.023762716282681954,0.04648581372799657,0.023762716282681954,0.023762716282681954,0.0,0.0016708159886260749,0.005142400320549142,0.0036386659307856744,0.0036386659307856744,0.0006683263954504299,0.0,0.041659011983076796,0.0,0.0,0.03564407442402293,0.003675795174977365,0.04186322282613109,0.05472850593855187,0.05472850593855187,0.02205477104986419,0.0,0.04392389587876992,0.0,0.0,0.04158475349469342,0.0,0.01568710567098926,0.0,0.0,0.011695711920382525,0.0,0.012549684536791407,0.0,0.021237927677646998,0.009356569536306019,0.0,0.01568710567098926,0.026547409597058744,0.026547409597058744,0.011695711920382525,0.021386444654413757,0.0018564622095845278,0.06653560559150946,0.06653560559150946,0.042772889308827514
x_R03_EXIT_C,0.0,0.0,0.003564407442402294,0.0026733055818017205,0.0026733055818017205,0.0,0.0,0.0011881358141340977,0.0008911018606005733,0.0008911018606005733,1.8952657574413747,1.889696370812621,-1.8458933304382343,1.889696370812621,1.889696370812621,0.003564407442402293,0.0,0.0011881358141340977,0.0,0.0,0.0,0.0,0.0001485169767667622,0.0,0.0,0.0,0.0,0.007128814884804588,0.005346611163603441,0.005346611163603441,0.0,0.0,0.0016336867444343844,0.0,0.0,0.0,0.0,0.008316950698938685,0.0062377130242040136,0.0062377130242040136,0.0,0.0,0.0029703395353352442,0.0022277546515014333,0.0,0.0,0.0,0.0023762716282681954,0.0,0.0,0.0,0.0,0.0007425848838338111,0.0,0.0,0.0,0.0,0.0011881358141340977,0.0,0.0
x_R03_EXIT_D,0.0,0.0,0.0,0.0008911018606005735,0.0,0.0,0.0,0.0,0.0002970339535335244,0.0,1.889696370812621,1.9023945723261793,1.889696370812621,-1.8534537418766406,1.9023945723261793,0.0,0.0,0.0,0.0011881358141340977,0.0,0.0,0.0,0.0,0.0001485169767667622,0.0,0.0,0.0,0.0,0.001782203721201147,0.0,0.0,0.0,0.0,0.0016336867444343844,0.0,0.0,0.0,0.0,0.002079237674734671,0.0,0.0,0.0,0.0,0.0007425848838338111,0.0,0.0,0.0,0.0,0.0005940679070670488,0.0,0.0,0.0,0.0,0.0007425848838338111,0.0,0.0,0.0,0.0,0.0011881358141340977,0.0
x_R03_EXIT_E,0.0,0.0,0.0,0.0,0.01871313907261204,0.0,0.0,0.0,0.0,0.006237713024204013,1.889696370812621,1.9736827211742252,1.889696370812621,1.9023945723261793,-1.7661815770445788,0.023762716282681954,0.0,0.023762716282681954,0.023762716282681954,0.0011881358141340977,0.0,0.0,0.0029703395353352442,0.0029703395353352442,0.0001485169767667622,0.0,0.0,0.0,0.0,0.03742627814522408,0.0,0.0,0.03267373488868769,0.03267373488868769,0.0016336867444343844,0.0,0.0,0.0,0.0,0.04366399116942809,0.0,0.0,0.0,0.0,0.0007425848838338111,0.0,0.0,0.0,0.011881358141340977,0.0005940679070670488,0.0,0.0,0.01485169767667622,0.01485169767667622,0.0007425848838338111,0.0,0.0,0.023762716282681954,0.023762716282681954,0.0011881358141340977
x_R04_EXIT_A,0.0029703395353352442,0.0006683263954504299,0.007128814884804586,0.00801991674540516,0.013960595816075649,0.0009901131784450816,0.00022277546515014337,0.002376271628268196,0.0026733055818017205,0.004653531938691884,0.036832210238157026,0.023762716282681954,0.003564407442402293,0.0,0.023762716282681954,-1.7654680608166466,1.897444006433954,1.9065530476756487,1.9053649118615146,1.897444006433954,0.00038366885664746915,0.0,0.0011386301552118439,0.0009901131784450816,0.0,0.0059406790706704885,0.0013366527909008598,0.014257629769609172,0.01603983349081032,0.027921191632151298,0.00422035742312216,0.0,0.01252493170733028,0.010891244962895896,0.0,0.0038119357370135633,0.0,0.01975275790997937,0.02183199558471404,0.03569358008294518,0.001361405620361987,0.0,0.007054556396421206,0.007797141280255016,0.0,0.0010891244962895898,0.0,0.005643645117136966,0.003960452713780326,0.0,0.001361405620361987,0.0,0.005693150776059219,0.004950565892225408,0.0,0.0021782489925791797,0.0,0.009109041241694751,0.007920905427560652,0.0
x_R04_EXIT_B,0.0,0.006943168663846133,0.0,0.0,0.0,0.0,0.0023143895546153784,0.0,0.0,0.0,0.0,0.04648581372799657,0.0,0.0,0.0,1.897444006433954,-1.795524393019552,1.897444006433954,1.897444006433954,1.897444006433954,0.0005569386628753584,0.0017141334401830474,0.00022277546515014337,0.00022277546515014337,0.00022277546515014337,0.0,0.013886337327692266,0.0,0.0,0.0,0.0012252650583257883,0.01395440760871037,0.007351590349954731,0.007351590349954731,0.007351590349954731,0.0,0.01464129862625664,0.0,0.0,0.0,0.0,0.005229035223663086,0.0,0.0,0.003898570640127508,0.0,0.004183228178930469,0.0,0.0031188565121020068,0.0031188565121020068,0.0,0.005229035223663086,0.003898570640127508,0.003898570640127508,0.003898570640127508,0.007128814884804588,0.000618820736528176,0.014257629769609172,0.014257629769609172,0.014257629769609172
x_R04_EXIT_C,0.0,0.0,0.0002970339535335244,0.0008911018606005733,0.006831780931271061,0.0,0.0,9.901131784450814e-05,0.0002970339535335244,0.0022772603104236878,0.0,0.023762716282681954,0.0011881358141340977,0.0,0.023762716282681954,1.9065530476756487,1.897444006433954,-1.8244916007261676,1.9053649118615146,1.897444006433954,0.0,0.0,0.001188135814134098,0.0009901131784450816,0.0,0.0,0.0,0.0005940679070670488,0.0017822037212011465,0.013663561862542122,0.0,0.0,0.013069493955475076,0.010891244962895896,0.0,0.0,0.0,0.000693079224911557,0.002079237674734671,0.01594082217296581,0.0,0.0,0.00024752829461127034,0.0007425848838338111,0.0,0.0,0.0,0.00019802263568901627,0.003960452713780326,0.0,0.0,0.0,0.0059406790706704885,0.004950565892225408,0.0,0.0,0.0,0.009505086513072783,0.007920905427560652,0.0
x_R04_EXIT_D,0.0,0.0,0.0,0.0002970339535335244,0.0059406790706704885,0.0,0.0,0.0,9.901131784450814e-05,0.001980226356890163,0.0,0.023762716282681954,0.0,0.0011881358141340977,0.023762716282681954,1.9053649118615146,1.897444006433954,1.9053649118615146,-1.8376677485283137,1.897444006433954,0.0,0.0,0.0009901131784450816,0.0010396188373673356,0.0,0.0,0.0,0.0,0.0005940679070670488,0.011881358141340977,0.0,0.0,0.010891244962895896,0.011435807211040693,0.0,0.0,0.0,0.0,0.000693079224911557,0.013861584498231138,0.0,0.0,0.0,0.00024752829461127034,0.0,0.0,0.0,0.0,0.004158475349469342,0.0,0.0,0.0,0.004950565892225408,0.0051980941868366775,0.0,0.0,0.0,0.007920905427560652,0.008316950698938685,0.0
x_R04_EXIT_E,0.0,0.0,0.0,0.0,0.0002970339535335244,0.0,0.0,0.0,0.0,9.901131784450814e-05,0.0,0.0,0.0,0.0,0.0011881358141340977,1.897444006433954,1.897444006433954,1.897444006433954,1.897444006433954,-1.8615726699398902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005940679070670488,0.0,0.0,0.0,0.0,0.0005445622481447947,0.0,0.0,0.0,0.0,0.000693079224911557,0.0,0.0,0.0,0.0,0.00024752829461127034,0.0,0.0,0.0,0.0,0.00019802263568901627,0.0,0.0,0.0,0.0,0.00024752829461127034,0.0,0.0,0.0,0.0,0.00039604527137803255
