room_id,room_name,occupancy,selected_exit,route_id,distance,edge_count,path,edge_ids
R11,Apartment 110,2,EXIT_D,R11__EXIT_D,21.25,20,START_R11 -> AE8 -> DOOR_11 -> AE6 -> AD6 -> AC6 -> AB6 -> DOOR_13 -> AB8 -> AB9 -> AB10 -> AB11 -> AB12 -> AB13 -> AB14.5 -> AB16 -> AC16 -> AD16 -> AE16 -> AF16 -> EXIT_D,E600:START_R11--AE8 | E127:AE8--DOOR_11 | E125:AE6--DOOR_11 | E096:AD6--AE6 | E069:AC6--AD6 | E058:AB6--AC6 | E217:DOOR_13--AB6 | E060:AB8--DOOR_13 | E059:AB8--AB9 | E043:AB10--AB9 | E042:AB10--AB11 | E044:AB11--AB12 | E045:AB12--AB13 | E046:AB13--AB14.5 | E049:AB14.5--AB16 | E050:AB16--AC16 | E061:AC16--AD16 | E078:AD16--AE16 | E105:AE16--AF16 | E131:AF16--EXIT_D
R12,Communal Bathroom,4,EXIT_F,R12__EXIT_F,20.75,18,START_R12 -> Q13.5 -> Q15 -> Q16 -> DOOR_26 -> Q18 -> R18 -> S18 -> S19 -> S20 -> S21 -> S22 -> R22 -> R23 -> R24 -> R25 -> R26 -> R27 -> EXIT_F,E603:START_R12--Q13.5 | E496:Q13.5--Q15 | E498:Q15--Q16 | E224:DOOR_26--Q16 | E225:DOOR_26--Q18 | E501:Q18--R18 | E528:R18--S18 | E558:S18--S19 | E560:S19--S20 | E563:S20--S21 | E565:S21--S22 | E532:R22--S22 | E531:R22--R23 | E533:R23--R24 | E535:R24--R25 | E536:R25--R26 | E539:R26--R27 | E540:R27--EXIT_F
R13,Apartment 113,2,EXIT_A,R13__EXIT_A,22.0,22,START_R13 -> D13 -> E13 -> DOOR_21 -> F13 -> F12 -> F10.5 -> F9 -> DOOR_16 -> E9 -> D9 -> D8 -> C8 -> DOOR_14 -> START_R35 -> D6 -> DOOR_08 -> F6 -> F5 -> F4 -> F3 -> F2 -> EXIT_A,E606:START_R13--D13 | E199:D13--E13 | E222:DOOR_21--E13 | E223:DOOR_21--F13 | E241:F12--F13 | E239:F10.5--F12 | E271:F9--F10.5 | E221:DOOR_16--F9 | E220:DOOR_16--E9 | E216:D9--E9 | E214:D8--D9 | E192:C8--D8 | E193:C8--DOOR_14 | E218:DOOR_14--START_R35 | E635:START_R35--D6 | E213:D6--DOOR_08 | E267:F6--DOOR_08 | E266:F5--F6 | E265:F4--F5 | E264:F3--F4 | E251:F2--F3 | E250:F2--EXIT_A
R14,Apartment 114,2,EXIT_F,R14__EXIT_F,31.5,29,START_R14 -> H13 -> DOOR_22 -> F13 -> F14.5 -> F16 -> G16 -> H16 -> I16 -> J16 -> K16 -> K17 -> K18 -> L18 -> M18 -> N18 -> N19 -> N20 -> N21 -> N22 -> N23 -> O23 -> P23 -> Q23 -> R23 -> R24 -> R25 -> R26 -> R27 -> EXIT_F,E607:START_R14--H13 | E284:H13--DOOR_22 | E242:F13--DOOR_22 | E243:F13--F14.5 | E244:F14.5--F16 | E245:F16--G16 | E272:G16--H16 | E287:H16--I16 | E315:I16--J16 | E333:J16--K16 | E352:K16--K17 | E353:K17--K18 | E355:K18--L18 | E367:L18--M18 | E394:M18--N18 | E421:N18--N19 | E423:N19--N20 | E425:N20--N21 | E426:N21--N22 | E427:N22--N23 | E428:N23--O23 | E453:O23--P23 | E483:P23--Q23 | E507:Q23--R23 | E533:R23--R24 | E535:R24--R25 | E536:R25--R26 | E539:R26--R27 | E540:R27--EXIT_F
R15,Supply Closet,1,EXIT_D,R15__EXIT_D,9.5,9,START_R15 -> DOOR_19 -> AB13 -> AB14.5 -> AB16 -> AC16 -> AD16 -> AE16 -> AF16 -> EXIT_D,E609:START_R15--DOOR_19 | E047:AB13--DOOR_19 | E046:AB13--AB14.5 | E049:AB14.5--AB16 | E050:AB16--AC16 | E061:AC16--AD16 | E078:AD16--AE16 | E105:AE16--AF16 | E131:AF16--EXIT_D
R16,Apartment 112,2,EXIT_STAIRWELL,R16__EXIT_STAIRWELL,27.5,24,START_R16 -> AD13 -> DOOR_20 -> AB13 -> AB14.5 -> AB16 -> AA16 -> Z16 -> Y16 -> X16 -> X17 -> X18 -> W18 -> V18 -> U18 -> T18 -> S18 -> S19 -> S20 -> S21 -> S22 -> R22 -> Q22 -> DOOR_45 -> EXIT_STAIRWELL,E076:AD13--START_R16 | E075:AD13--DOOR_20 | E048:AB13--DOOR_20 | E046:AB13--AB14.5 | E049:AB14.5--AB16 | E008:AA16--AB16 | E009:AA16--Z16 | E771:Y16--Z16 | E744:X16--Y16 | E743:X16--X17 | E745:X17--X18 | E722:W18--X18 | E704:V18--W18 | E681:U18--V18 | E652:T18--U18 | E559:S18--T18 | E558:S18--S19 | E560:S19--S20 | E563:S20--S21 | E565:S21--S22 | E532:R22--S22 | E506:Q22--R22 | E504:Q22--DOOR_45 | E226:DOOR_45--EXIT_STAIRWELL
R20,Emergency Stairwell / Exit Room,0,EXIT_G,R20__EXIT_G,19.5,20,START_R20 -> EXIT_STAIRWELL -> DOOR_45 -> Q22 -> P22 -> O22 -> O23 -> N23 -> M23 -> L23 -> K23 -> J23 -> I23 -> DOOR_33 -> I25 -> H25 -> H26 -> DOOR_43 -> F26 -> F27 -> EXIT_G,E613:START_R20--EXIT_STAIRWELL | E226:DOOR_45--EXIT_STAIRWELL | E504:Q22--DOOR_45 | E482:P22--Q22 | E451:O22--P22 | E450:O22--O23 | E428:N23--O23 | E397:M23--N23 | E373:L23--M23 | E361:K23--L23 | E340:J23--K23 | E326:I23--J23 | E325:I23--DOOR_33 | E327:I25--DOOR_33 | E300:H25--I25 | E299:H25--H26 | E301:H26--DOOR_43 | E258:F26--DOOR_43 | E260:F26--F27 | E261:F27--EXIT_G
R24,Laundry Room,4,EXIT_STAIRWELL,R24__EXIT_STAIRWELL,12.5,12,START_R24 -> X20 -> W20 -> V20 -> DOOR_30 -> T20 -> S20 -> S21 -> S22 -> R22 -> Q22 -> DOOR_45 -> EXIT_STAIRWELL,E751:X20--START_R24 | E726:W20--X20 | E710:V20--W20 | E708:V20--DOOR_30 | E654:T20--DOOR_30 | E564:S20--T20 | E563:S20--S21 | E565:S21--S22 | E532:R22--S22 | E506:Q22--R22 | E504:Q22--DOOR_45 | E226:DOOR_45--EXIT_STAIRWELL
R25,Apartment 115,2,EXIT_D,R25__EXIT_D,7.25,6,START_R25 -> AE19 -> AE18 -> DOOR_25 -> AE16 -> AF16 -> EXIT_D,E111:AE19--START_R25 | E107:AE18--AE19 | E109:AE18--DOOR_25 | E106:AE16--DOOR_25 | E105:AE16--AF16 | E131:AF16--EXIT_D
R28,Apartment 120,2,EXIT_G,R28__EXIT_G,5.5,5,START_R28 -> D26 -> DOOR_44 -> F26 -> F27 -> EXIT_G,E619:START_R28--D26 | E210:D26--DOOR_44 | E259:F26--DOOR_44 | E260:F26--F27 | E261:F27--EXIT_G
R29,Apartment 116,2,EXIT_G,R29__EXIT_G,5.5,5,START_R29 -> H26 -> DOOR_43 -> F26 -> F27 -> EXIT_G,E303:H26--START_R29 | E301:H26--DOOR_43 | E258:F26--DOOR_43 | E260:F26--F27 | E261:F27--EXIT_G
R30,Apartment 118,2,EXIT_F,R30__EXIT_F,13.25,13,START_R30 -> M25 -> DOOR_34 -> M23 -> N23 -> O23 -> P23 -> Q23 -> R23 -> R24 -> R25 -> R26 -> R27 -> EXIT_F,E400:M25--START_R30 | E398:M25--DOOR_34 | E396:M23--DOOR_34 | E397:M23--N23 | E428:N23--O23 | E453:O23--P23 | E483:P23--Q23 | E507:Q23--R23 | E533:R23--R24 | E535:R24--R25 | E536:R25--R26 | E539:R26--R27 | E540:R27--EXIT_F
R31,Apartment 119,2,EXIT_G,R31__EXIT_G,17.75,17,START_R31 -> O25 -> DOOR_37 -> O23 -> N23 -> M23 -> L23 -> K23 -> J23 -> I23 -> DOOR_33 -> I25 -> H25 -> H26 -> DOOR_43 -> F26 -> F27 -> EXIT_G,E456:O25--START_R31 | E454:O25--DOOR_37 | E452:O23--DOOR_37 | E428:N23--O23 | E397:M23--N23 | E373:L23--M23 | E361:K23--L23 | E340:J23--K23 | E326:I23--J23 | E325:I23--DOOR_33 | E327:I25--DOOR_33 | E300:H25--I25 | E299:H25--H26 | E301:H26--DOOR_43 | E258:F26--DOOR_43 | E260:F26--F27 | E261:F27--EXIT_G
R32,Apartment 121,2,EXIT_E,R32__EXIT_E,14.75,14,START_R32 -> U25 -> DOOR_35 -> U23 -> V23 -> W23 -> X23 -> DOOR_36 -> X25 -> Y25 -> Y26 -> DOOR_40 -> AA26 -> AA27 -> EXIT_E,E689:U25--START_R32 | E688:U25--DOOR_35 | E686:U23--DOOR_35 | E687:U23--V23 | E714:V23--W23 | E730:W23--X23 | E755:X23--DOOR_36 | E757:X25--DOOR_36 | E759:X25--Y25 | E778:Y25--Y26 | E779:Y26--DOOR_40 | E033:AA26--DOOR_40 | E032:AA26--AA27 | E035:AA27--EXIT_E
R33,Apartment 117,2,EXIT_STAIRWELL,R33__EXIT_STAIRWELL,12.75,13,START_R33 -> X25 -> DOOR_36 -> X23 -> W23 -> V23 -> U23 -> T23 -> S23 -> R23 -> Q23 -> Q22 -> DOOR_45 -> EXIT_STAIRWELL,E758:X25--START_R33 | E757:X25--DOOR_36 | E755:X23--DOOR_36 | E730:W23--X23 | E714:V23--W23 | E687:U23--V23 | E659:T23--U23 | E569:S23--T23 | E534:R23--S23 | E507:Q23--R23 | E505:Q22--Q23 | E504:Q22--DOOR_45 | E226:DOOR_45--EXIT_STAIRWELL
R34,Apartment 122,2,EXIT_E,R34__EXIT_E,6.5,6,START_R34 -> AD26 -> AC26 -> DOOR_42 -> AA26 -> AA27 -> EXIT_E,E092:AD26--START_R34 | E066:AC26--AD26 | E067:AC26--DOOR_42 | E034:AA26--DOOR_42 | E032:AA26--AA27 | E035:AA27--EXIT_E
R35,Apartment 108,2,EXIT_H,R35__EXIT_H,18.0,17,START_R35 -> DOOR_14 -> C8 -> D8 -> D9 -> E9 -> DOOR_16 -> F9 -> F10.5 -> F12 -> F13 -> F14.5 -> F16 -> E16 -> D16 -> C16 -> B16 -> EXIT_H,E218:DOOR_14--START_R35 | E193:C8--DOOR_14 | E192:C8--D8 | E214:D8--D9 | E216:D9--E9 | E220:DOOR_16--E9 | E221:DOOR_16--F9 | E271:F9--F10.5 | E239:F10.5--F12 | E241:F12--F13 | E243:F13--F14.5 | E244:F14.5--F16 | E230:E16--F16 | E201:D16--E16 | E175:C16--D16 | E147:B16--C16 | E148:B16--EXIT_H
R36,Communal Kitchen,10,EXIT_A,R36__EXIT_A,29.25,27,START_R36 -> G19 -> H19 -> I19 -> I18 -> DOOR_28 -> K18 -> K17 -> K16 -> K15 -> K13.5 -> K12.5 -> K11.5 -> K10.5 -> K9 -> K8 -> K7 -> K6 -> J6 -> I6 -> H6 -> G6 -> F6 -> F5 -> F4 -> F3 -> F2 -> EXIT_A,E276:G19--START_R36 | E275:G19--H19 | E291:H19--I19 | E317:I18--I19 | E316:I18--DOOR_28 | E354:K18--DOOR_28 | E353:K17--K18 | E352:K16--K17 | E351:K15--K16 | E349:K13.5--K15 | E348:K12.5--K13.5 | E347:K11.5--K12.5 | E345:K10.5--K11.5 | E346:K10.5--K9 | E365:K8--K9 | E364:K7--K8 | E362:K6--K7 | E344:J6--K6 | E332:I6--J6 | E309:H6--I6 | E279:G6--H6 | E269:F6--G6 | E266:F5--F6 | E265:F4--F5 | E264:F3--F4 | E251:F2--F3 | E250:F2--EXIT_A
