rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
22,0.736076753823113,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_A | x_R04_EXIT_B | x_R05_EXIT_C | x_R06_EXIT_C | x_R07_EXIT_C | x_R08_EXIT_G | x_R09_EXIT_H | x_R10_EXIT_F | x_R11_EXIT_C | x_R12_EXIT_D | x_R13_EXIT_A | x_R14_EXIT_B | x_R15_EXIT_C | x_R16_EXIT_G | x_R17_EXIT_H | x_R18_EXIT_D | x_R19_EXIT_E | x_R20_EXIT_H | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_E | x_R24_EXIT_H | x_R25_EXIT_D | x_R26_EXIT_D | x_R27_EXIT_A | x_R28_EXIT_H | x_R29_EXIT_A | x_R30_EXIT_A | x_R31_EXIT_E | x_R32_EXIT_A | x_R33_EXIT_H
23,0.7387631898433824,1,True,0,33,x_R01_EXIT_G | x_R02_EXIT_D | x_R03_EXIT_H | x_R04_EXIT_H | x_R05_EXIT_D | x_R06_EXIT_D | x_R07_EXIT_A | x_R08_EXIT_D | x_R09_EXIT_D | x_R10_EXIT_H | x_R11_EXIT_G | x_R12_EXIT_D | x_R13_EXIT_D | x_R14_EXIT_C | x_R15_EXIT_E | x_R16_EXIT_F | x_R17_EXIT_C | x_R18_EXIT_B | x_R19_EXIT_E | x_R20_EXIT_D | x_R21_EXIT_E | x_R22_EXIT_F | x_R23_EXIT_H | x_R24_EXIT_H | x_R25_EXIT_D | x_R26_EXIT_A | x_R27_EXIT_G | x_R28_EXIT_A | x_R29_EXIT_A | x_R30_EXIT_G | x_R31_EXIT_B | x_R32_EXIT_A | x_R33_EXIT_E
24,0.7388687426578144,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_A | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_E | x_R06_EXIT_G | x_R07_EXIT_C | x_R08_EXIT_D | x_R09_EXIT_F | x_R10_EXIT_B | x_R11_EXIT_E | x_R12_EXIT_H | x_R13_EXIT_C | x_R14_EXIT_E | x_R15_EXIT_H | x_R16_EXIT_E | x_R17_EXIT_D | x_R18_EXIT_E | x_R19_EXIT_B | x_R20_EXIT_A | x_R21_EXIT_F | x_R22_EXIT_F | x_R23_EXIT_F | x_R24_EXIT_B | x_R25_EXIT_E | x_R26_EXIT_D | x_R27_EXIT_G | x_R28_EXIT_E | x_R29_EXIT_G | x_R30_EXIT_D | x_R31_EXIT_B | x_R32_EXIT_C | x_R33_EXIT_A
25,0.7397113115625871,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_D | x_R03_EXIT_F | x_R04_EXIT_A | x_R05_EXIT_G | x_R06_EXIT_F | x_R07_EXIT_C | x_R08_EXIT_C | x_R09_EXIT_B | x_R10_EXIT_E | x_R11_EXIT_A | x_R12_EXIT_G | x_R13_EXIT_C | x_R14_EXIT_B | x_R15_EXIT_E | x_R16_EXIT_F | x_R17_EXIT_G | x_R18_EXIT_A | x_R19_EXIT_D | x_R20_EXIT_H | x_R21_EXIT_F | x_R22_EXIT_A | x_R23_EXIT_E | x_R24_EXIT_F | x_R25_EXIT_A | x_R26_EXIT_E | x_R27_EXIT_F | x_R28_EXIT_A | x_R29_EXIT_G | x_R30_EXIT_F | x_R31_EXIT_G | x_R32_EXIT_H | x_R33_EXIT_B
26,0.7402186526092009,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_G | x_R03_EXIT_G | x_R04_EXIT_B | x_R05_EXIT_D | x_R06_EXIT_E | x_R07_EXIT_F | x_R08_EXIT_G | x_R09_EXIT_A | x_R10_EXIT_E | x_R11_EXIT_C | x_R12_EXIT_G | x_R13_EXIT_A | x_R14_EXIT_B | x_R15_EXIT_D | x_R16_EXIT_E | x_R17_EXIT_C | x_R18_EXIT_G | x_R19_EXIT_F | x_R20_EXIT_A | x_R21_EXIT_B | x_R22_EXIT_D | x_R23_EXIT_B | x_R24_EXIT_H | x_R25_EXIT_H | x_R26_EXIT_G | x_R27_EXIT_F | x_R28_EXIT_D | x_R29_EXIT_E | x_R30_EXIT_F | x_R31_EXIT_C | x_R32_EXIT_H | x_R33_EXIT_E
27,0.7412637184048663,1,True,0,33,x_R01_EXIT_G | x_R02_EXIT_F | x_R03_EXIT_C | x_R04_EXIT_F | x_R05_EXIT_D | x_R06_EXIT_E | x_R07_EXIT_D | x_R08_EXIT_B | x_R09_EXIT_H | x_R10_EXIT_E | x_R11_EXIT_G | x_R12_EXIT_C | x_R13_EXIT_F | x_R14_EXIT_G | x_R15_EXIT_G | x_R16_EXIT_D | x_R17_EXIT_E | x_R18_EXIT_G | x_R19_EXIT_H | x_R20_EXIT_D | x_R21_EXIT_G | x_R22_EXIT_D | x_R23_EXIT_E | x_R24_EXIT_B | x_R25_EXIT_B | x_R26_EXIT_A | x_R27_EXIT_F | x_R28_EXIT_E | x_R29_EXIT_D | x_R30_EXIT_H | x_R31_EXIT_A | x_R32_EXIT_A | x_R33_EXIT_B
28,0.7422315513282456,1,True,0,33,x_R01_EXIT_H | x_R02_EXIT_F | x_R03_EXIT_E | x_R04_EXIT_E | x_R05_EXIT_D | x_R06_EXIT_C | x_R07_EXIT_D | x_R08_EXIT_H | x_R09_EXIT_E | x_R10_EXIT_B | x_R11_EXIT_B | x_R12_EXIT_H | x_R13_EXIT_H | x_R14_EXIT_F | x_R15_EXIT_E | x_R16_EXIT_G | x_R17_EXIT_A | x_R18_EXIT_F | x_R19_EXIT_A | x_R20_EXIT_A | x_R21_EXIT_A | x_R22_EXIT_D | x_R23_EXIT_E | x_R24_EXIT_H | x_R25_EXIT_G | x_R26_EXIT_A | x_R27_EXIT_E | x_R28_EXIT_A | x_R29_EXIT_H | x_R30_EXIT_D | x_R31_EXIT_A | x_R32_EXIT_H | x_R33_EXIT_B
29,0.7425927360401374,1,True,0,33,x_R01_EXIT_F | x_R02_EXIT_C | x_R03_EXIT_B | x_R04_EXIT_E | x_R05_EXIT_H | x_R06_EXIT_B | x_R07_EXIT_C | x_R08_EXIT_A | x_R09_EXIT_D | x_R10_EXIT_H | x_R11_EXIT_F | x_R12_EXIT_D | x_R13_EXIT_D | x_R14_EXIT_H | x_R15_EXIT_D | x_R16_EXIT_H | x_R17_EXIT_H | x_R18_EXIT_E | x_R19_EXIT_E | x_R20_EXIT_H | x_R21_EXIT_D | x_R22_EXIT_H | x_R23_EXIT_A | x_R24_EXIT_H | x_R25_EXIT_B | x_R26_EXIT_G | x_R27_EXIT_D | x_R28_EXIT_A | x_R29_EXIT_A | x_R30_EXIT_E | x_R31_EXIT_G | x_R32_EXIT_F | x_R33_EXIT_A
30,0.7461347577155379,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_B | x_R04_EXIT_B | x_R05_EXIT_E | x_R06_EXIT_E | x_R07_EXIT_A | x_R08_EXIT_G | x_R09_EXIT_D | x_R10_EXIT_H | x_R11_EXIT_H | x_R12_EXIT_A | x_R13_EXIT_F | x_R14_EXIT_H | x_R15_EXIT_C | x_R16_EXIT_E | x_R17_EXIT_H | x_R18_EXIT_E | x_R19_EXIT_G | x_R20_EXIT_G | x_R21_EXIT_H | x_R22_EXIT_F | x_R23_EXIT_B | x_R24_EXIT_G | x_R25_EXIT_F | x_R26_EXIT_H | x_R27_EXIT_B | x_R28_EXIT_H | x_R29_EXIT_F | x_R30_EXIT_H | x_R31_EXIT_H | x_R32_EXIT_F | x_R33_EXIT_B
31,0.7465837628411691,1,True,0,33,x_R01_EXIT_H | x_R02_EXIT_A | x_R03_EXIT_E | x_R04_EXIT_B | x_R05_EXIT_D | x_R06_EXIT_H | x_R07_EXIT_F | x_R08_EXIT_E | x_R09_EXIT_C | x_R10_EXIT_G | x_R11_EXIT_G | x_R12_EXIT_D | x_R13_EXIT_B | x_R14_EXIT_D | x_R15_EXIT_D | x_R16_EXIT_A | x_R17_EXIT_D | x_R18_EXIT_H | x_R19_EXIT_E | x_R20_EXIT_A | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_B | x_R24_EXIT_H | x_R25_EXIT_F | x_R26_EXIT_F | x_R27_EXIT_C | x_R28_EXIT_A | x_R29_EXIT_B | x_R30_EXIT_C | x_R31_EXIT_D | x_R32_EXIT_F | x_R33_EXIT_A
