rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
25,0.6916665904549291,1,True,0,28,x_R01_EXIT_B | x_R02_EXIT_H | x_R03_EXIT_F | x_R04_EXIT_A | x_R05_EXIT_C | x_R06_EXIT_C | x_R07_EXIT_STAIRWELL | x_R08_EXIT_H | x_R09_EXIT_A | x_R10_EXIT_A | x_R11_EXIT_C | x_R12_EXIT_C | x_R13_EXIT_H | x_R14_EXIT_H | x_R15_EXIT_D | x_R16_EXIT_A | x_R20_EXIT_STAIRWELL | x_R24_EXIT_E | x_R25_EXIT_H | x_R28_EXIT_E | x_R29_EXIT_H | x_R30_EXIT_A | x_R31_EXIT_G | x_R32_EXIT_H | x_R33_EXIT_B | x_R34_EXIT_A | x_R35_EXIT_A | x_R36_EXIT_G
26,0.6932638249170964,1,True,0,28,x_R01_EXIT_C | x_R02_EXIT_H | x_R03_EXIT_A | x_R04_EXIT_A | x_R05_EXIT_F | x_R06_EXIT_B | x_R07_EXIT_STAIRWELL | x_R08_EXIT_H | x_R09_EXIT_H | x_R10_EXIT_G | x_R11_EXIT_STAIRWELL | x_R12_EXIT_D | x_R13_EXIT_STAIRWELL | x_R14_EXIT_B | x_R15_EXIT_F | x_R16_EXIT_STAIRWELL | x_R20_EXIT_E | x_R24_EXIT_F | x_R25_EXIT_D | x_R28_EXIT_STAIRWELL | x_R29_EXIT_D | x_R30_EXIT_D | x_R31_EXIT_F | x_R32_EXIT_E | x_R33_EXIT_E | x_R34_EXIT_F | x_R35_EXIT_E | x_R36_EXIT_STAIRWELL
27,0.6954269798769701,1,True,0,28,x_R01_EXIT_C | x_R02_EXIT_B | x_R03_EXIT_B | x_R04_EXIT_C | x_R05_EXIT_F | x_R06_EXIT_D | x_R07_EXIT_D | x_R08_EXIT_H | x_R09_EXIT_B | x_R10_EXIT_D | x_R11_EXIT_D | x_R12_EXIT_E | x_R13_EXIT_STAIRWELL | x_R14_EXIT_G | x_R15_EXIT_D | x_R16_EXIT_E | x_R20_EXIT_G | x_R24_EXIT_B | x_R25_EXIT_F | x_R28_EXIT_H | x_R29_EXIT_D | x_R30_EXIT_E | x_R31_EXIT_F | x_R32_EXIT_E | x_R33_EXIT_STAIRWELL | x_R34_EXIT_G | x_R35_EXIT_B | x_R36_EXIT_A
28,0.6964266520080855,1,True,0,28,x_R01_EXIT_E | x_R02_EXIT_A | x_R03_EXIT_STAIRWELL | x_R04_EXIT_D | x_R05_EXIT_C | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_H | x_R09_EXIT_E | x_R10_EXIT_G | x_R11_EXIT_C | x_R12_EXIT_B | x_R13_EXIT_H | x_R14_EXIT_C | x_R15_EXIT_G | x_R16_EXIT_H | x_R20_EXIT_STAIRWELL | x_R24_EXIT_STAIRWELL | x_R25_EXIT_C | x_R28_EXIT_D | x_R29_EXIT_G | x_R30_EXIT_G | x_R31_EXIT_E | x_R32_EXIT_G | x_R33_EXIT_G | x_R34_EXIT_G | x_R35_EXIT_A | x_R36_EXIT_F
29,0.696608419645429,1,True,0,28,x_R01_EXIT_B | x_R02_EXIT_A | x_R03_EXIT_E | x_R04_EXIT_B | x_R05_EXIT_D | x_R06_EXIT_STAIRWELL | x_R07_EXIT_D | x_R08_EXIT_F | x_R09_EXIT_G | x_R10_EXIT_A | x_R11_EXIT_D | x_R12_EXIT_D | x_R13_EXIT_A | x_R14_EXIT_B | x_R15_EXIT_D | x_R16_EXIT_B | x_R20_EXIT_STAIRWELL | x_R24_EXIT_A | x_R25_EXIT_G | x_R28_EXIT_G | x_R29_EXIT_C | x_R30_EXIT_F | x_R31_EXIT_G | x_R32_EXIT_G | x_R33_EXIT_STAIRWELL | x_R34_EXIT_STAIRWELL | x_R35_EXIT_H | x_R36_EXIT_D
30,0.6973582976799548,1,True,0,28,x_R01_EXIT_A | x_R02_EXIT_D | x_R03_EXIT_B | x_R04_EXIT_B | x_R05_EXIT_E | x_R06_EXIT_D | x_R07_EXIT_D | x_R08_EXIT_F | x_R09_EXIT_H | x_R10_EXIT_STAIRWELL | x_R11_EXIT_H | x_R12_EXIT_D | x_R13_EXIT_H | x_R14_EXIT_H | x_R15_EXIT_STAIRWELL | x_R16_EXIT_STAIRWELL | x_R20_EXIT_STAIRWELL | x_R24_EXIT_A | x_R25_EXIT_B | x_R28_EXIT_G | x_R29_EXIT_A | x_R30_EXIT_STAIRWELL | x_R31_EXIT_D | x_R32_EXIT_C | x_R33_EXIT_C | x_R34_EXIT_C | x_R35_EXIT_H | x_R36_EXIT_H
31,0.6974187899497792,1,True,0,28,x_R01_EXIT_STAIRWELL | x_R02_EXIT_A | x_R03_EXIT_B | x_R04_EXIT_F | x_R05_EXIT_STAIRWELL | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_H | x_R09_EXIT_B | x_R10_EXIT_D | x_R11_EXIT_D | x_R12_EXIT_F | x_R13_EXIT_A | x_R14_EXIT_G | x_R15_EXIT_A | x_R16_EXIT_C | x_R20_EXIT_F | x_R24_EXIT_F | x_R25_EXIT_A | x_R28_EXIT_E | x_R29_EXIT_D | x_R30_EXIT_B | x_R31_EXIT_H | x_R32_EXIT_B | x_R33_EXIT_D | x_R34_EXIT_STAIRWELL | x_R35_EXIT_H | x_R36_EXIT_STAIRWELL
32,0.6975855505306185,1,True,0,28,x_R01_EXIT_C | x_R02_EXIT_B | x_R03_EXIT_C | x_R04_EXIT_F | x_R05_EXIT_A | x_R06_EXIT_F | x_R07_EXIT_H | x_R08_EXIT_E | x_R09_EXIT_STAIRWELL | x_R10_EXIT_STAIRWELL | x_R11_EXIT_C | x_R12_EXIT_B | x_R13_EXIT_B | x_R14_EXIT_F | x_R15_EXIT_A | x_R16_EXIT_E | x_R20_EXIT_STAIRWELL | x_R24_EXIT_STAIRWELL | x_R25_EXIT_STAIRWELL | x_R28_EXIT_G | x_R29_EXIT_G | x_R30_EXIT_A | x_R31_EXIT_F | x_R32_EXIT_F | x_R33_EXIT_E | x_R34_EXIT_E | x_R35_EXIT_G | x_R36_EXIT_D
33,0.7006747585093649,1,True,0,28,x_R01_EXIT_B | x_R02_EXIT_H | x_R03_EXIT_STAIRWELL | x_R04_EXIT_D | x_R05_EXIT_H | x_R06_EXIT_D | x_R07_EXIT_C | x_R08_EXIT_B | x_R09_EXIT_STAIRWELL | x_R10_EXIT_E | x_R11_EXIT_B | x_R12_EXIT_B | x_R13_EXIT_D | x_R14_EXIT_A | x_R15_EXIT_B | x_R16_EXIT_E | x_R20_EXIT_STAIRWELL | x_R24_EXIT_F | x_R25_EXIT_E | x_R28_EXIT_G | x_R29_EXIT_STAIRWELL | x_R30_EXIT_E | x_R31_EXIT_H | x_R32_EXIT_B | x_R33_EXIT_E | x_R34_EXIT_H | x_R35_EXIT_B | x_R36_EXIT_F
34,0.7015743350455637,1,True,0,28,x_R01_EXIT_A | x_R02_EXIT_H | x_R03_EXIT_A | x_R04_EXIT_D | x_R05_EXIT_C | x_R06_EXIT_STAIRWELL | x_R07_EXIT_G | x_R08_EXIT_B | x_R09_EXIT_H | x_R10_EXIT_F | x_R11_EXIT_A | x_R12_EXIT_D | x_R13_EXIT_STAIRWELL | x_R14_EXIT_A | x_R15_EXIT_STAIRWELL | x_R16_EXIT_H | x_R20_EXIT_D | x_R24_EXIT_F | x_R25_EXIT_C | x_R28_EXIT_STAIRWELL | x_R29_EXIT_G | x_R30_EXIT_F | x_R31_EXIT_D | x_R32_EXIT_STAIRWELL | x_R33_EXIT_D | x_R34_EXIT_H | x_R35_EXIT_F | x_R36_EXIT_H
