rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
22,0.9464194298253901,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_B | x_R04_EXIT_B | x_R05_EXIT_C | x_R06_EXIT_A | x_R07_EXIT_B | x_R08_EXIT_B | x_R09_EXIT_A | x_R10_EXIT_B | x_R11_EXIT_A | x_R12_EXIT_C | x_R13_EXIT_C | x_R14_EXIT_B | x_R15_EXIT_B | x_R16_EXIT_B | x_R17_EXIT_A | x_R18_EXIT_A | x_R19_EXIT_C | x_R20_EXIT_A | x_R21_EXIT_A | x_R22_EXIT_B | x_R23_EXIT_A | x_R24_EXIT_A
23,0.9491987776878474,1,True,0,24,x_R01_EXIT_B | x_R02_EXIT_C | x_R03_EXIT_A | x_R04_EXIT_B | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_B | x_R08_EXIT_B | x_R09_EXIT_B | x_R10_EXIT_C | x_R11_EXIT_B | x_R12_EXIT_B | x_R13_EXIT_C | x_R14_EXIT_C | x_R15_EXIT_C | x_R16_EXIT_C | x_R17_EXIT_A | x_R18_EXIT_A | x_R19_EXIT_A | x_R20_EXIT_A | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_A | x_R24_EXIT_A
24,0.9511616653453459,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_B | x_R04_EXIT_B | x_R05_EXIT_A | x_R06_EXIT_B | x_R07_EXIT_A | x_R08_EXIT_C | x_R09_EXIT_C | x_R10_EXIT_B | x_R11_EXIT_C | x_R12_EXIT_C | x_R13_EXIT_B | x_R14_EXIT_A | x_R15_EXIT_C | x_R16_EXIT_B | x_R17_EXIT_A | x_R18_EXIT_A | x_R19_EXIT_C | x_R20_EXIT_A | x_R21_EXIT_A | x_R22_EXIT_C | x_R23_EXIT_A | x_R24_EXIT_A
25,0.9569191734170985,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_A | x_R04_EXIT_B | x_R05_EXIT_C | x_R06_EXIT_A | x_R07_EXIT_B | x_R08_EXIT_C | x_R09_EXIT_C | x_R10_EXIT_B | x_R11_EXIT_A | x_R12_EXIT_B | x_R13_EXIT_A | x_R14_EXIT_C | x_R15_EXIT_A | x_R16_EXIT_B | x_R17_EXIT_A | x_R18_EXIT_A | x_R19_EXIT_C | x_R20_EXIT_B | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_A | x_R24_EXIT_A
26,0.9577297039843415,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_B | x_R05_EXIT_A | x_R06_EXIT_B | x_R07_EXIT_A | x_R08_EXIT_B | x_R09_EXIT_C | x_R10_EXIT_C | x_R11_EXIT_C | x_R12_EXIT_C | x_R13_EXIT_B | x_R14_EXIT_C | x_R15_EXIT_C | x_R16_EXIT_A | x_R17_EXIT_B | x_R18_EXIT_C | x_R19_EXIT_A | x_R20_EXIT_C | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_A | x_R24_EXIT_A
27,0.9583544685814402,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_B | x_R04_EXIT_C | x_R05_EXIT_C | x_R06_EXIT_A | x_R07_EXIT_A | x_R08_EXIT_C | x_R09_EXIT_B | x_R10_EXIT_C | x_R11_EXIT_C | x_R12_EXIT_B | x_R13_EXIT_B | x_R14_EXIT_A | x_R15_EXIT_C | x_R16_EXIT_B | x_R17_EXIT_C | x_R18_EXIT_C | x_R19_EXIT_A | x_R20_EXIT_B | x_R21_EXIT_A | x_R22_EXIT_B | x_R23_EXIT_A | x_R24_EXIT_A
28,0.9601007667181634,1,True,0,24,x_R01_EXIT_B | x_R02_EXIT_C | x_R03_EXIT_B | x_R04_EXIT_C | x_R05_EXIT_B | x_R06_EXIT_A | x_R07_EXIT_B | x_R08_EXIT_C | x_R09_EXIT_C | x_R10_EXIT_C | x_R11_EXIT_A | x_R12_EXIT_A | x_R13_EXIT_C | x_R14_EXIT_B | x_R15_EXIT_A | x_R16_EXIT_B | x_R17_EXIT_C | x_R18_EXIT_A | x_R19_EXIT_B | x_R20_EXIT_C | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_A | x_R24_EXIT_A
29,0.964642405570693,1,True,0,24,x_R01_EXIT_B | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_B | x_R06_EXIT_B | x_R07_EXIT_A | x_R08_EXIT_A | x_R09_EXIT_A | x_R10_EXIT_C | x_R11_EXIT_C | x_R12_EXIT_C | x_R13_EXIT_B | x_R14_EXIT_B | x_R15_EXIT_B | x_R16_EXIT_A | x_R17_EXIT_B | x_R18_EXIT_A | x_R19_EXIT_A | x_R20_EXIT_A | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_C | x_R24_EXIT_A
30,0.9652572580910288,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_B | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_B | x_R08_EXIT_B | x_R09_EXIT_B | x_R10_EXIT_C | x_R11_EXIT_C | x_R12_EXIT_A | x_R13_EXIT_C | x_R14_EXIT_A | x_R15_EXIT_B | x_R16_EXIT_A | x_R17_EXIT_B | x_R18_EXIT_C | x_R19_EXIT_C | x_R20_EXIT_A | x_R21_EXIT_B | x_R22_EXIT_A | x_R23_EXIT_B | x_R24_EXIT_A
31,0.9668436086134875,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_B | x_R04_EXIT_B | x_R05_EXIT_C | x_R06_EXIT_C | x_R07_EXIT_B | x_R08_EXIT_B | x_R09_EXIT_C | x_R10_EXIT_B | x_R11_EXIT_B | x_R12_EXIT_B | x_R13_EXIT_B | x_R14_EXIT_A | x_R15_EXIT_A | x_R16_EXIT_A | x_R17_EXIT_C | x_R18_EXIT_B | x_R19_EXIT_B | x_R20_EXIT_A | x_R21_EXIT_B | x_R22_EXIT_B | x_R23_EXIT_A | x_R24_EXIT_A
